一级功能菜单,二级功能页,功能点,使用场景,使用者,可解决的问题
广告账户,账户管理,单个账户发起减款，生成单个减款工单，从单个账户中清出部分余额,回收账户部分余额。,财务人员、账户运营,资金划转需求多样，操作流程不统一。
广告账户,账户管理,单个账户发起更名，生成单个更名工单，对单个账户修改名称,修改账户名以符合内部命名规范。,账户运营,账户命名不规范，管理识别困难。
广告账户,账户管理,导出账户基础信息,获取账户清单，用于审计或数据分析。,财务人员、账户运营,手动整理账户信息，耗时且易遗漏。
广告账户,账户管理,进入账户消耗数据高级报表申请/查看界面,申请或查看广告消耗数据明细报表。,广告优化师,基础报表无法满足深度分析需求。
广告账户,账户管理,查看工单记录,跟踪所有账户操作申请的进度和结果。,账户运营、广告优化师,操作进度不透明，需人工反复确认。
广告账户,账户管理,筛选工单记录基础信息,快速定位特定类型或状态的操作工单。,账户运营,工单记录多，查找历史记录困难。
广告账户,账户管理,查询工单记录基础信息,快速定位特定类型或状态的操作工单。,账户运营,工单记录多，查找历史记录困难。
广告账户,账户管理,导出充值、减款、清零类工单记录,导出资金操作记录，便于财务对账。,财务人员、账户运营,财务对账数据获取不便，效率低。
广告账户,账户管理,修改与提交待修改状态的工单,根据驳回意见修改并重新提交工单。,账户运营,工单被驳回后，修改和提交流程混乱。
广告账户,账户充值,添加选择账户发起充值，生成充值工单，向账户充值特定金额,为单个或多个账户快速发起充值申请。,账户运营、广告优化师,充值入口分散，操作路径长。
广告账户,账户充值,通过Excel文件批量导入账户发起充值，生成充值工单，向账户充值特定金额,根据表格批量为多个账户发起充值。,财务人员、账户运营,大规模账户充值，手动操作不现实。
广告账户,账户充值,查看充值工单记录,查看所有充值申请的处理状态和详情。,财务人员、账户运营,充值进度不透明，影响资金安排。
广告投放,像素授权,筛选像素授权工单基础信息,查找特定像素的授权记录或状态。,广告优化师,像素授权记录混乱，管理困难。
广告投放,像素授权,查询像素授权工单基础信息,查找特定像素的授权记录或状态。,广告优化师,像素授权记录混乱，管理困难。
广告投放,像素授权,新增Meta媒体像素授权，生成像素授权工单，将单个/多个像素授权给单个/多个BM/账户查看/管理,授权BM或账户使用已有像素，追踪转化。,广告优化师,像素授权需在后台操作，权限要求高。
广告投放,像素授权,新增TikTok媒体像素授权，生成像素授权工单，将单个像素授权给单个/多个BC/账户进行像素广告投放/修改,为BC或账户授权像素，用于优化投放。,广告优化师,跨账户像素数据共享流程复杂。
广告投放,像素授权,新增Snapchat媒体像素授权，生成像素授权工单，将单个/多个像素授权给单个/多个ORG/账户,授权ORG或账户使用像素进行数据追踪。,广告优化师,像素资产复用效率低，重复创建。
智能预警,智能预警,支持根据账户活跃情况给账户设置防盗监控,监控账户异常消耗，防止资金被盗用。,账户运营,无法及时发现账户被盗刷或恶意消耗。
智能预警,智能预警,支持给沉寂账户设置账户重启监控,自动监控长期未使用的账户，激活提醒。,账户运营、广告优化师,沉寂账户易被忽略，错失重启机会。
智能预警,智能预警,支持根据账户余额和消耗预估给账户设置余额监控,账户余额不足时自动预警，避免投放中断。,账户运营、广告优化师,因余额耗尽导致广告中断，影响效果。
智能预警,智能预警,支持根据监控类别,快速查找已设置的特定监控规则。,账户运营,监控规则多，查找和修改不便。
智能预警,智能预警,监控状态,快速查找已设置的特定监控规则。,账户运营,监控规则多，查找和修改不便。
智能预警,智能预警,监控名称查询已创建的监控,快速查找已设置的特定监控规则。,账户运营,监控规则多，查找和修改不便。
智能预警,智能预警,查看已创建的监控列表（包括监控名称,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,监控对象,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,监控类别,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,监控范围,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,监控条件,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,状态,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,处理动作,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,操作）,统一管理所有自动化监控规则。,账户运营,缺乏统一视图，监控管理混乱。
智能预警,智能预警,支持修改防盗监控设置,根据账户消耗变化，调整防盗阈值。,账户运营,监控规则僵化，无法适应业务变化。
智能预警,智能预警,支持修改账户重启监控设置,调整沉寂账户的判断标准和重启提醒。,账户运营,沉寂标准不合理，提醒不及时或过频。
智能预警,智能预警,支持修改余额监控设置,根据消耗速度变化，调整余额预警线。,账户运营、广告优化师,预警线设置不合理，预警过早或过晚。
智能预警,智能预警,支持删除已创建的防盗监控,移除不再需要的防盗监控规则。,账户运营,冗余监控规则造成干扰和资源浪费。
智能预警,智能预警,支持删除已创建的账户重启监控,清理不再需要的沉寂监控。,账户运营,监控规则堆积，管理界面混乱。
智能预警,智能预警,支持删除已创建的余额监控,移除不再需要的余额监控。,账户运营,无效监控产生噪音，影响有效预警。
智能预警,智能预警,支持开启/关闭 余额监控,暂停或启用余额预警监控规则。,账户运营,预警通知无法灵活控制，打扰或失效。
智能预警,智能预警,支持开启/关闭 账户重启监控,暂停或启用账户重启监控规则。,账户运营,无法按需启停监控，缺乏灵活性。
智能预警,智能预警,支持开启/关闭 防盗监控状态,暂停或启用防盗监控规则。,账户运营,监控策略调整不便，无法应对突发情况。
资产管理,交易支付,支持预付客户使用Airwallex在线打款,客户通过Airwallex向预付广告主打款。,财务人员,支付方式单一，无法满足客户偏好。
资产管理,交易支付,支持预付客户使用万里汇在线打款,客户通过万里汇向预付广告主打款。,财务人员,跨境支付渠道有限，到账效率低。
资产管理,交易支付,支持预付客户使用payoneer在线打款,客户通过Payoneer向预付广告主打款。,财务人员,客户常用支付渠道未覆盖，体验差。
资产管理,交易支付,支持预付客户使用pingpong在线打款,客户通过PingPong向预付广告主打款。,财务人员,支付渠道选择少，影响客户决策。
资产管理,交易支付,支持预付客户使用paypal在线打款,客户通过PayPal向预付广告主打款。,财务人员,缺乏国际通用支付方式，不便客户。
资产管理,交易支付,支持预付客户使用支付宝在线打款,客户通过支付宝向预付广告主打款。,财务人员,国内客户支付不便，增加充值门槛。
资产管理,交易支付,支持预付客户使用银联在线打款,客户通过银联卡向预付广告主打款。,财务人员,大额支付渠道受限，无法满足需求。
资产管理,交易支付,支持预付客户用汇丰银行完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过汇丰银行线下转账后在线登记。,财务人员,线下打款信息登记流程不标准。
资产管理,交易支付,支持预付客户用渣打银行完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过渣打银行线下转账后在线登记。,财务人员,大额线下转账后，财务核销困难。
资产管理,交易支付,支持预付客户用渣打银行完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过渣打银行线下转账后在线登记。,财务人员,重复项，支持渣打银行线下打款登记。
资产管理,交易支付,支持预付客户用CFSB完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过CFSB银行线下转账后在线登记。,财务人员,支持更多银行，满足不同客户需求。
资产管理,交易支付,支持预付客户用payoneer完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过Payoneer线下转账后在线登记。,财务人员,Payoneer线下路径登记，方便客户。
资产管理,交易支付,支持预付客户用pingpong线下打款渠道给钛动打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过PingPong线下转账后在线登记。,财务人员,线下打款凭证管理混乱，对账困难。
资产管理,交易支付,支持预付客户用光子易完成线下打款，支持客户完成线下打款后在UA登记打款信息，并上传水单,客户通过光子易线下转账后在线登记。,财务人员,支持新兴支付渠道，提升客户体验。
资产管理,交易记录,支持预付客户查看历史交易记录列表，包括交易流水号,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,交易金额,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,归属广告主,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,交易状态,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,支付方式,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,支付类型,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,交易时间,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,备注,查看所有打款、退款等资金流水记录。,财务人员,资金流水不透明，无法追溯历史交易。
资产管理,交易记录,支持针对已完成的线下打款订单补充登记打款信息，并上传水单,补登之前遗漏的线下打款凭证信息。,财务人员,线下打款凭证遗忘，影响财务核销。
资产管理,交易记录,支持针对线下打款订单取消登记打款信息，并上传水单,撤销错误登记的线下打款信息和水单。,财务人员,登记信息错误，无法修正或撤销。
资产管理,交易记录,支持根据交易状态,按条件筛选，快速定位特定交易记录。,财务人员,交易记录多，查找特定订单耗时。
资产管理,交易记录,支付方式,按条件筛选，快速定位特定交易记录。,财务人员,交易记录多，查找特定订单耗时。
资产管理,交易记录,支付类型,按条件筛选，快速定位特定交易记录。,财务人员,交易记录多，查找特定订单耗时。
资产管理,交易记录,交易时间,按条件筛选，快速定位特定交易记录。,财务人员,交易记录多，查找特定订单耗时。
资产管理,交易记录,归属广告主来查询相关交易订单,按条件筛选，快速定位特定交易记录。,财务人员,交易记录多，查找特定订单耗时。
资产管理,交易记录,支持导出交易记录列表的数据,导出交易流水，用于内部对账或审计。,财务人员、账户运营,手动整理流水数据，效率低且易错。
资产管理,广告费用明细,支持客户查看广告费用数据，包括账号ID,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,账号名称,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,媒体平台,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,广告费用合计,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,媒体平台消耗,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,服务费,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,税费汇总,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,账户币种等信息,查看各账户详细的费用构成和明细。,财务人员,费用构成不透明，无法核对账单明细。
资产管理,广告费用明细,支持根据月份和媒体平台查询相关的广告费用数据,按月或平台筛选，查看特定维度的费用。,财务人员,跨平台、跨月度费用统计困难。
资产管理,广告费用明细,支持导出广告费用明细列表的数据,导出费用明细，便于财务做账或成本分析。,财务人员,账单数据获取不便，影响财务处理。
智能广告建议,智能广告建议,支持根据账户名称,快速查找特定账户或类型的优化建议。,广告优化师、账户运营,广告建议分散，查找和跟进困难。
智能广告建议,智能广告建议,账户id,快速查找特定账户或类型的优化建议。,广告优化师、账户运营,广告建议分散，查找和跟进困难。
智能广告建议,智能广告建议,广告建议名称来查询账户收到的广告建议,快速查找特定账户或类型的优化建议。,广告优化师、账户运营,广告建议分散，查找和跟进困难。
智能广告建议,智能广告建议,支持查看Meta推送到账户中的广告建议信息，包括广告建议,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,广建议采纳效果,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,广告建议说明,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,面向对象,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,对象数量,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,机会分提升,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,相关账户,集中查看并评估Meta官方的优化建议。,广告优化师,错失平台提供的优化机会，效果提升慢。
智能广告建议,智能广告建议,手动触发采集更新数据,立即同步最新的广告建议数据。,广告优化师,数据更新不及时，影响决策时效性。
智能广告建议,智能广告建议,导出列表中的智能广告建议,导出建议列表，用于内部讨论或存档。,广告优化师、账户运营,优化建议无法批量分享和归档。
智能广告建议,智能广告建议,导出列表中的智能广告建议,,,
